???????????2017/02/19 20:12:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ishikari ,,,,Wakkanai,,,,Aomori,,,,Sakata,,,,Toyama,,,,Matsumoto,,,,Kyoto,,,,Yonago,,,,Hamada,,,,Fukuoka,,,
,??,,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??,??
???,?????(cm),,?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm),?????(cm)
,,,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????,,??????,????,????
1/1/1976,,,0,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/2/1976,,,0,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/3/1976,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/4/1976,,,0,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/5/1976,,,0,1,2,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/6/1976,,,0,1,0,0,8,1,28,0,8,1,2,0,8,1,17,0,8,1,0,0,8,1,0,0,8,1,14,0,8,1,0,0,8,1,0,0,8,1
1/7/1976,,,0,1,14,0,8,1,14,0,8,1,3,0,8,1,8,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/8/1976,,,0,1,1,0,8,1,1,0,8,1,3,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/9/1976,,,0,1,0,0,8,1,2,0,8,1,0,0,8,1,13,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/10/1976,,,0,1,0,0,8,1,25,0,8,1,19,0,8,1,28,0,8,1,0,0,8,1,0,0,8,1,2,0,8,1,1,0,8,1,0,0,8,1
1/11/1976,,,0,1,1,0,8,1,8,0,8,1,26,0,8,1,60,0,8,1,0,1,8,1,0,0,8,1,12,0,8,1,1,0,8,1,0,0,8,1
1/12/1976,,,0,1,0,0,8,1,20,0,8,1,7,0,8,1,7,0,8,1,1,0,8,1,2,0,8,1,8,0,8,1,1,0,8,1,0,1,8,1
1/13/1976,,,0,1,3,0,8,1,6,0,8,1,2,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/14/1976,,,0,1,3,0,8,1,10,0,8,1,3,0,8,1,2,0,8,1,1,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/15/1976,,,0,1,4,0,8,1,24,0,8,1,2,0,8,1,10,0,8,1,0,0,8,1,0,0,8,1,3,0,8,1,0,0,8,1,0,1,8,1
1/16/1976,,,0,1,1,0,8,1,3,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/17/1976,,,0,1,4,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/18/1976,,,0,1,7,0,8,1,14,0,8,1,3,0,8,1,11,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/19/1976,,,0,1,4,0,8,1,27,0,8,1,1,0,8,1,14,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,0,8,1,0,0,8,1
1/20/1976,,,0,1,2,0,8,1,30,0,8,1,0,0,8,1,30,0,8,1,0,0,8,1,0,0,8,1,6,0,8,1,1,0,8,1,0,0,8,1
1/21/1976,,,0,1,2,0,8,1,24,0,8,1,0,0,8,1,28,0,8,1,0,0,8,1,0,0,8,1,2,0,8,1,0,0,8,1,0,0,8,1
1/22/1976,,,0,1,2,0,8,1,11,0,8,1,5,0,8,1,37,0,8,1,0,0,8,1,0,0,8,1,11,0,8,1,0,0,8,1,0,0,8,1
1/23/1976,,,0,1,3,0,8,1,16,0,8,1,3,0,8,1,23,0,8,1,2,0,8,1,1,0,8,1,19,0,8,1,2,0,8,1,0,0,8,1
1/24/1976,,,0,1,5,0,8,1,13,0,8,1,1,0,8,1,6,0,8,1,0,1,8,1,1,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1
1/25/1976,,,0,1,14,0,8,1,8,0,8,1,4,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,0,8,1
1/26/1976,,,0,1,3,0,8,1,14,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/27/1976,,,0,1,0,0,8,1,12,0,8,1,2,0,8,1,17,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1
1/28/1976,,,0,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/29/1976,,,0,1,4,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
1/30/1976,,,0,1,0,0,8,1,12,0,8,1,6,0,8,1,8,0,8,1,2,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1
1/31/1976,,,0,1,1,0,8,1,12,0,8,1,1,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/1/1976,,,0,1,4,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/2/1976,,,0,1,2,0,8,1,0,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/3/1976,,,0,1,0,0,8,1,0,0,8,1,3,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/4/1976,,,0,1,0,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,0,1,8,1
2/5/1976,,,0,1,3,0,8,1,0,1,8,1,0,0,8,1,0,1,8,1,18,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1
2/6/1976,,,0,1,0,0,8,1,6,0,8,1,3,0,8,1,5,0,8,1,0,0,8,1,0,0,8,1,3,0,8,1,0,0,8,1,0,0,8,1
2/7/1976,,,0,1,0,0,8,1,1,0,8,1,10,0,8,1,4,0,8,1,0,1,8,1,1,0,8,1,1,0,8,1,0,1,8,1,0,1,8,1
2/8/1976,,,0,1,0,0,8,1,11,0,8,1,1,0,8,1,0,0,8,1,0,0,8,1,0,1,8,1,0,1,8,1,0,0,8,1,0,1,8,1
